,aggregatable,aiPredictionField,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,formulaTreatNullNumberAsZero,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,requiredOnCreate,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sobject,sortable,type,unique,updateable,writeRequiresMasterRead
Country,True,False,False,240,False,,False,False,Address,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Country,80,,,Country,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,string,False,True,False
CreatedById,True,False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,False,0,False,tns:ID,Lead,True,reference,False,False,False
CreatedDate,True,False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:dateTime,Lead,True,datetime,False,False,False
DandbCompanyId,True,False,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,D&B Company ID,18,,,DandbCompanyId,False,False,True,True,[],False,0,False,,['DandBCompany'],DandbCompany,,False,False,False,0,True,tns:ID,Lead,True,reference,False,True,False
Description,False,False,False,96000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,plaintextarea,False,,False,False,False,False,False,,Description,32000,,,Description,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,False,textarea,False,True,False
DoNotCall,False,False,False,0,False,,False,False,,,True,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Do Not Call,0,,,DoNotCall,False,False,False,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Lead,True,boolean,False,True,False
Email,True,False,False,240,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,True,,Email,80,,,Email,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,email,False,True,False
EmailBouncedDate,True,False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Email Bounced Date,0,,,EmailBouncedDate,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:dateTime,Lead,True,datetime,False,True,False
EmailBouncedReason,True,False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Email Bounced Reason,255,,,EmailBouncedReason,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,string,False,True,False
Fax,True,False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Fax,40,,,Fax,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,phone,False,True,False
FirstName,True,False,False,120,False,,False,False,Name,,True,False,,,False,False,False,0,False,False,False,personname,True,,False,True,False,False,False,,First Name,40,,,FirstName,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,string,False,True,False
GeocodeAccuracy,True,False,False,120,False,,False,False,Address,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Geocode Accuracy,40,,,GeocodeAccuracy,False,False,True,True,"[{'active': True, 'defaultValue': False, 'label': 'Address', 'validFor': None, 'value': 'Address'}, {'active': True, 'defaultValue': False, 'label': 'NearAddress', 'validFor': None, 'value': 'NearAddress'}, {'active': True, 'defaultValue': False, 'label': 'Block', 'validFor': None, 'value': 'Block'}, {'active': True, 'defaultValue': False, 'label': 'Street', 'validFor': None, 'value': 'Street'}, {'active': True, 'defaultValue': False, 'label': 'ExtendedZip', 'validFor': None, 'value': 'ExtendedZip'}, {'active': True, 'defaultValue': False, 'label': 'Zip', 'validFor': None, 'value': 'Zip'}, {'active': True, 'defaultValue': False, 'label': 'Neighborhood', 'validFor': None, 'value': 'Neighborhood'}, {'active': True, 'defaultValue': False, 'label': 'City', 'validFor': None, 'value': 'City'}, {'active': True, 'defaultValue': False, 'label': 'County', 'validFor': None, 'value': 'County'}, {'active': True, 'defaultValue': False, 'label': 'State', 'validFor': None, 'value': 'State'}, {'active': True, 'defaultValue': False, 'label': 'Unknown', 'validFor': None, 'value': 'Unknown'}]",False,0,False,,[],,,False,False,True,0,False,xsd:string,Lead,True,picklist,False,True,False
HasOptedOutOfEmail,False,False,False,0,False,,False,False,,,True,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Email Opt Out,0,,,HasOptedOutOfEmail,False,False,False,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Lead,True,boolean,False,True,False
HasOptedOutOfFax,False,False,False,0,False,,False,False,,,True,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Fax Opt Out,0,,,HasOptedOutOfFax,False,False,False,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Lead,True,boolean,False,True,False
Id,True,False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,True,False,False,True,,Lead ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,tns:ID,Lead,True,id,False,False,False
IndividualId,True,False,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Individual ID,18,,,IndividualId,False,False,True,False,[],False,0,False,,['Individual'],Individual,,False,False,False,0,True,tns:ID,Lead,True,reference,False,True,False
Industry,True,False,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Industry,255,,,Industry,False,False,True,True,"[{'active': True, 'defaultValue': False, 'label': 'Agriculture', 'validFor': None, 'value': 'Agriculture'}, {'active': True, 'defaultValue': False, 'label': 'Apparel', 'validFor': None, 'value': 'Apparel'}, {'active': True, 'defaultValue': False, 'label': 'Banking', 'validFor': None, 'value': 'Banking'}, {'active': True, 'defaultValue': False, 'label': 'Biotechnology', 'validFor': None, 'value': 'Biotechnology'}, {'active': True, 'defaultValue': False, 'label': 'Chemicals', 'validFor': None, 'value': 'Chemicals'}, {'active': True, 'defaultValue': False, 'label': 'Communications', 'validFor': None, 'value': 'Communications'}, {'active': True, 'defaultValue': False, 'label': 'Construction', 'validFor': None, 'value': 'Construction'}, {'active': True, 'defaultValue': False, 'label': 'Consulting', 'validFor': None, 'value': 'Consulting'}, {'active': True, 'defaultValue': False, 'label': 'Education', 'validFor': None, 'value': 'Education'}, {'active': True, 'defaultValue': False, 'label': 'Electronics', 'validFor': None, 'value': 'Electronics'}, {'active': True, 'defaultValue': False, 'label': 'Energy', 'validFor': None, 'value': 'Energy'}, {'active': True, 'defaultValue': False, 'label': 'Engineering', 'validFor': None, 'value': 'Engineering'}, {'active': True, 'defaultValue': False, 'label': 'Entertainment', 'validFor': None, 'value': 'Entertainment'}, {'active': True, 'defaultValue': False, 'label': 'Environmental', 'validFor': None, 'value': 'Environmental'}, {'active': True, 'defaultValue': False, 'label': 'Finance', 'validFor': None, 'value': 'Finance'}, {'active': True, 'defaultValue': False, 'label': 'Food & Beverage', 'validFor': None, 'value': 'Food & Beverage'}, {'active': True, 'defaultValue': False, 'label': 'Government', 'validFor': None, 'value': 'Government'}, {'active': True, 'defaultValue': False, 'label': 'Healthcare', 'validFor': None, 'value': 'Healthcare'}, {'active': True, 'defaultValue': False, 'label': 'Hospitality', 'validFor': None, 'value': 'Hospitality'}, {'active': True, 'defaultValue': False, 'label': 'Insurance', 'validFor': None, 'value': 'Insurance'}, {'active': True, 'defaultValue': False, 'label': 'Machinery', 'validFor': None, 'value': 'Machinery'}, {'active': True, 'defaultValue': False, 'label': 'Manufacturing', 'validFor': None, 'value': 'Manufacturing'}, {'active': True, 'defaultValue': False, 'label': 'Media', 'validFor': None, 'value': 'Media'}, {'active': True, 'defaultValue': False, 'label': 'Not For Profit', 'validFor': None, 'value': 'Not For Profit'}, {'active': True, 'defaultValue': False, 'label': 'Recreation', 'validFor': None, 'value': 'Recreation'}, {'active': True, 'defaultValue': False, 'label': 'Retail', 'validFor': None, 'value': 'Retail'}, {'active': True, 'defaultValue': False, 'label': 'Shipping', 'validFor': None, 'value': 'Shipping'}, {'active': True, 'defaultValue': False, 'label': 'Technology', 'validFor': None, 'value': 'Technology'}, {'active': True, 'defaultValue': False, 'label': 'Telecommunications', 'validFor': None, 'value': 'Telecommunications'}, {'active': True, 'defaultValue': False, 'label': 'Transportation', 'validFor': None, 'value': 'Transportation'}, {'active': True, 'defaultValue': False, 'label': 'Utilities', 'validFor': None, 'value': 'Utilities'}, {'active': True, 'defaultValue': False, 'label': 'Other', 'validFor': None, 'value': 'Other'}]",False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,picklist,False,True,False
IsConverted,False,False,False,0,False,,False,False,,,True,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Converted,0,,,IsConverted,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Lead,True,boolean,False,False,False
IsDeleted,False,False,False,0,False,,False,False,,,False,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Lead,True,boolean,False,False,False
IsUnreadByOwner,False,False,False,0,False,,False,False,,,True,False,0,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Unread By Owner,0,,,IsUnreadByOwner,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:boolean,Lead,True,boolean,False,True,False
Jigsaw,True,False,False,60,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Data.com Key,20,,,Jigsaw,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,string,False,True,False
JigsawContactId,True,False,False,60,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Jigsaw Contact ID,20,,,JigsawContactId,False,False,True,False,[],False,0,False,,[],JigsawContact,,False,False,False,0,False,xsd:string,Lead,True,string,False,False,False
LastActivityDate,True,False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Last Activity,0,,,LastActivityDate,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:date,Lead,True,date,False,False,False
LastModifiedById,True,False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,False,0,False,tns:ID,Lead,True,reference,False,False,False
LastModifiedDate,True,False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:dateTime,Lead,True,datetime,False,False,False
LastName,True,False,False,240,False,,False,False,Name,,True,False,,,False,False,False,0,False,False,False,personname,True,,False,True,False,False,False,,Last Name,80,,,LastName,False,False,False,False,[],False,0,False,,[],,,True,False,False,0,False,xsd:string,Lead,True,string,False,True,False
LastReferencedDate,True,False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Last Referenced Date,0,,,LastReferencedDate,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:dateTime,Lead,True,datetime,False,False,False
LastTransferDate,True,False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Last Transfer Date,0,,,LastTransferDate,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:date,Lead,True,date,False,False,False
LastViewedDate,True,False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Last Viewed Date,0,,,LastViewedDate,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:dateTime,Lead,True,datetime,False,False,False
Latitude,True,False,False,0,False,,False,False,Address,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Latitude,0,,,Latitude,False,False,True,True,[],False,18,False,,[],,,False,False,False,15,False,xsd:double,Lead,True,double,False,True,False
LeadSource,True,False,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Lead Source,255,,,LeadSource,False,False,True,True,"[{'active': True, 'defaultValue': False, 'label': 'Web', 'validFor': None, 'value': 'Web'}, {'active': True, 'defaultValue': False, 'label': 'Phone Inquiry', 'validFor': None, 'value': 'Phone Inquiry'}, {'active': True, 'defaultValue': False, 'label': 'Partner Referral', 'validFor': None, 'value': 'Partner Referral'}, {'active': True, 'defaultValue': False, 'label': 'Purchased List', 'validFor': None, 'value': 'Purchased List'}, {'active': True, 'defaultValue': False, 'label': 'Other', 'validFor': None, 'value': 'Other'}]",False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,picklist,False,True,False
Longitude,True,False,False,0,False,,False,False,Address,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Longitude,0,,,Longitude,False,False,True,True,[],False,18,False,,[],,,False,False,False,15,False,xsd:double,Lead,True,double,False,True,False
MasterRecordId,True,False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Master Record ID,18,,,MasterRecordId,False,False,True,False,[],False,0,False,,['Lead'],MasterRecord,,False,False,False,0,False,tns:ID,Lead,True,reference,False,False,False
MobilePhone,True,False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Mobile Phone,40,,,MobilePhone,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,phone,False,True,False
Name,True,False,False,363,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,personname,True,,False,True,False,False,False,,Full Name,121,,,Name,True,False,False,False,[],False,0,False,,[],,,True,False,False,0,False,xsd:string,Lead,True,string,False,False,False
NumberOfEmployees,True,False,False,0,False,,False,False,,,True,False,,,False,False,False,8,False,False,False,,True,,False,True,False,False,False,,Employees,0,,,NumberOfEmployees,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:int,Lead,True,int,False,True,False
OwnerId,True,False,False,18,False,,False,False,,,True,False,,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Owner ID,18,,,OwnerId,False,True,False,False,[],True,0,False,,"['Group', 'User']",Owner,,False,False,False,0,False,tns:ID,Lead,True,reference,False,True,False
PartnerAccountId,True,False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Partner Account ID,18,,,PartnerAccountId,False,False,True,True,[],False,0,False,,['Account'],PartnerAccount,,False,False,False,0,True,tns:ID,Lead,True,reference,False,False,False
Phone,True,False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Phone,40,,,Phone,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,phone,False,True,False
PhotoUrl,True,False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,imageurl,True,,False,True,False,False,False,,Photo URL,255,,,PhotoUrl,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,url,False,False,False
PostalCode,True,False,False,60,False,,False,False,Address,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Zip/Postal Code,20,,,PostalCode,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,string,False,True,False
Rating,True,False,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Rating,255,,,Rating,False,False,True,True,"[{'active': True, 'defaultValue': False, 'label': 'Hot', 'validFor': None, 'value': 'Hot'}, {'active': True, 'defaultValue': False, 'label': 'Warm', 'validFor': None, 'value': 'Warm'}, {'active': True, 'defaultValue': False, 'label': 'Cold', 'validFor': None, 'value': 'Cold'}]",False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,picklist,False,True,False
Salutation,True,False,False,120,False,,False,False,Name,,True,False,,,False,False,False,0,False,False,False,personname,True,,False,True,False,False,False,,Salutation,40,,,Salutation,False,False,True,False,"[{'active': True, 'defaultValue': False, 'label': 'Mr.', 'validFor': None, 'value': 'Mr.'}, {'active': True, 'defaultValue': False, 'label': 'Ms.', 'validFor': None, 'value': 'Ms.'}, {'active': True, 'defaultValue': False, 'label': 'Mrs.', 'validFor': None, 'value': 'Mrs.'}, {'active': True, 'defaultValue': False, 'label': 'Dr.', 'validFor': None, 'value': 'Dr.'}, {'active': True, 'defaultValue': False, 'label': 'Prof.', 'validFor': None, 'value': 'Prof.'}]",False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,picklist,False,True,False
State,True,False,False,240,False,,False,False,Address,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,State/Province,80,,,State,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,string,False,True,False
Status,True,False,False,765,False,,False,False,,,True,False,Open - Not Contacted,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Status,255,,,Status,False,False,False,False,"[{'active': True, 'defaultValue': True, 'label': 'Open - Not Contacted', 'validFor': None, 'value': 'Open - Not Contacted'}, {'active': True, 'defaultValue': False, 'label': 'Working - Contacted', 'validFor': None, 'value': 'Working - Contacted'}, {'active': True, 'defaultValue': False, 'label': 'Closed - Converted', 'validFor': None, 'value': 'Closed - Converted'}, {'active': True, 'defaultValue': False, 'label': 'Closed - Not Converted', 'validFor': None, 'value': 'Closed - Not Converted'}]",False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,picklist,False,True,False
Street,True,False,False,765,False,,False,False,Address,,True,False,,,False,False,False,0,False,False,False,plaintextarea,True,,False,True,False,False,False,,Street,255,,,Street,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,textarea,False,True,False
SystemModstamp,True,False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:dateTime,Lead,True,datetime,False,False,False
Title,True,False,False,384,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Title,128,,,Title,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,string,False,True,False
Website,True,False,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Website,255,,,Website,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Lead,True,url,False,True,False
